Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Huascar Ynoa,ATL,29,32,2,3,6,0,0.00%,46.90%,0.219,0.333,0.219,0.219,0.438,0.274,,67,0,-1.4,3.9,0.4,20468
Shaun Marcum,- - -,192,160,1,6,8,0,5.60%,27.50%,0.062,0.19,0.132,0.2,0.194,0.185,,9,-0.1,-17.2,15.7,0.4,6204
Joe Ross,WSN,113,175,0,7,5,0,3.40%,39.40%,0.025,0.33,0.185,0.224,0.21,0.197,,15,-0.1,-18.8,16.8,0.4,12972
Josh Tomlin,- - -,289,31,0,2,1,0,3.20%,38.70%,0.036,0.5,0.286,0.31,0.321,0.28,,79,0,-1.1,3.4,0.4,9388
Bud Norris,- - -,357,253,0,10,12,0,2.80%,26.10%,0.034,0.229,0.157,0.191,0.191,0.174,,1,-0.1,-29.9,25.6,0.3,9492
CC Sabathia,- - -,404,100,2,5,11,0,1.00%,31.00%,0.083,0.254,0.188,0.196,0.271,0.204,,19,0,-10.4,10.7,0.3,404
Kip Wells,- - -,110,103,1,9,5,0,0.00%,37.90%,0.043,0.365,0.217,0.226,0.261,0.216,,17,-0.1,-11,11.2,0.3,1012
Ranger Suarez,PHI,83,34,0,2,1,0,2.90%,26.50%,0.154,0.294,0.192,0.25,0.346,0.258,,57,0,-1.9,4.1,0.3,17277
Andy Pettitte,- - -,202,97,1,5,6,0,1.00%,32.00%,0.084,0.275,0.181,0.19,0.265,0.197,,13,0,-11.1,11.2,0.3,840
Barry Enright,- - -,33,52,1,2,8,0,3.80%,21.20%,0.089,0.265,0.222,0.25,0.311,0.248,,43,0,-3.6,5.1,0.3,2412
Bruce Chen,- - -,204,14,0,1,0,0,7.10%,35.70%,0,0.833,0.455,0.5,0.455,0.43,,174,0,1.2,1.4,0.3,769
Tyler Glasnow,- - -,107,37,0,1,3,0,10.80%,45.90%,0,0.429,0.194,0.306,0.194,0.243,,50,0,-2.4,4.3,0.3,14374
Chris Rusin,- - -,192,131,1,9,9,0,0.00%,19.80%,0.057,0.242,0.197,0.197,0.254,0.194,,4,-0.1,-14.8,13.9,0.3,9895
Matt Strahm,- - -,158,35,0,1,1,0,5.70%,45.70%,0.069,0.462,0.207,0.258,0.276,0.235,,52,0,-2.2,4.3,0.3,13799
Russ Ortiz,- - -,69,59,1,3,7,0,5.10%,23.70%,0.078,0.25,0.196,0.241,0.275,0.232,,30,0,-5.2,6.5,0.3,1124
Eric Milton,- - -,40,78,0,8,5,0,2.60%,37.20%,0.078,0.333,0.188,0.221,0.266,0.214,,16,0,-8.5,9.1,0.3,743
Tylor Megill,NYM,18,31,0,1,0,0,3.20%,54.80%,0.107,0.545,0.214,0.241,0.321,0.243,,55,0,-1.8,3.7,0.3,21318
Taijuan Walker,- - -,139,119,1,6,7,0,1.70%,45.40%,0.045,0.298,0.161,0.183,0.205,0.172,,0,-0.1,-15.1,14.1,0.3,11836
Brad Lincoln,- - -,101,43,0,3,4,0,2.30%,32.60%,0.026,0.375,0.237,0.256,0.263,0.233,,46,0,-2.7,4.2,0.3,4241
Luke Weaver,- - -,96,125,1,10,8,0,2.40%,40.00%,0.028,0.293,0.167,0.188,0.194,0.169,,-2,-0.1,-16.2,14.9,0.3,16918
Logan Webb,SFG,50,64,1,7,7,0,4.70%,35.90%,0.127,0.194,0.127,0.172,0.255,0.186,,14,0,-7.1,7.8,0.3,17995
Tommy Milone,- - -,190,54,1,4,7,0,5.60%,25.90%,0.067,0.2,0.156,0.208,0.222,0.197,,27,0,-4.9,5.8,0.3,7608
Bobby Livingston,- - -,14,31,0,3,2,0,6.50%,22.60%,0,0.389,0.28,0.333,0.28,0.285,,62,0,-1.6,3.3,0.3,3876
Enrique Gonzalez,- - -,56,35,0,3,3,0,0.00%,22.90%,0.031,0.375,0.281,0.281,0.313,0.261,,46,0,-2.5,4.2,0.3,2568
Taylor Clarke,ARI,78,28,1,2,2,0,0.00%,42.90%,0.111,0.429,0.259,0.259,0.37,0.265,,58,0,-1.6,3.4,0.3,17611
Tyler Matzek,- - -,117,52,0,5,0,0,3.80%,26.90%,0.043,0.313,0.217,0.25,0.261,0.23,,25,0,-4.4,5.3,0.3,10058
David Buchanan,PHI,35,62,0,4,3,0,9.70%,29.00%,0.04,0.219,0.14,0.232,0.18,0.198,,18,0,-5.8,6.4,0.3,11176
Greg Smith,- - -,42,19,0,2,2,0,0.00%,10.50%,0.133,0.385,0.333,0.333,0.467,0.348,,105,0,0.1,1.9,0.3,3455
John Thomson,- - -,20,32,0,1,4,0,0.00%,31.30%,0.067,0.4,0.267,0.267,0.333,0.261,,50,0,-2.1,3.8,0.3,453
Seth Lugo,NYM,214,67,1,7,4,0,3.00%,29.90%,0.103,0.211,0.155,0.18,0.259,0.188,,13,0,-7.3,7.8,0.3,12447
Tony Gonsolin,LAD,37,33,0,4,1,0,3.00%,36.40%,0.033,0.389,0.233,0.258,0.267,0.231,,43,0,-2.4,4,0.3,19388
James Shields,- - -,411,154,0,15,6,0,1.90%,36.40%,0.021,0.279,0.169,0.186,0.19,0.169,,-1,-0.1,-18.6,16.3,0.3,7059
Hong-Chih Kuo,LAD,209,36,1,3,1,0,2.80%,38.90%,0.185,0.333,0.185,0.214,0.37,0.25,,46,0,-2.5,4,0.3,7016
Kyle Gibson,- - -,236,53,1,6,2,0,3.80%,37.70%,0.063,0.259,0.167,0.2,0.229,0.191,,17,0,-5.5,6.2,0.2,10123
Tanner Roark,- - -,227,351,1,12,14,0,2.30%,32.50%,0.042,0.227,0.146,0.17,0.188,0.159,,-12,-0.1,-48,39.3,0.2,8753
Josh Beckett,- - -,229,112,2,8,7,0,1.80%,34.80%,0.098,0.213,0.147,0.163,0.245,0.178,,6,0,-12.8,11.7,0.2,510
Justin Germano,- - -,89,80,0,4,3,0,5.00%,35.00%,0.033,0.313,0.167,0.219,0.2,0.195,,14,0,-8.7,8.6,0.2,1938
Kyle Kendrick,- - -,259,441,1,23,9,0,4.10%,35.80%,0.037,0.236,0.139,0.184,0.176,0.168,,-8,-0.2,-56.6,45.2,0.2,6230
Humberto Castellanos,- - -,22,7,1,1,5,0,0.00%,14.30%,0.5,0.4,0.5,0.429,1,0.538,,239,0,1.2,0.8,0.2,21183
Jamey Wright,- - -,494,62,0,4,1,0,0.00%,25.80%,0.036,0.308,0.218,0.218,0.255,0.207,,15,0,-6.8,7.2,0.2,715
Marco Gonzales,- - -,121,28,0,2,0,0,0.00%,39.30%,0.13,0.417,0.217,0.217,0.348,0.241,,47,0,-1.9,3.2,0.2,15467
Tony Cingrani,- - -,217,61,0,6,2,1,1.60%,26.20%,0.019,0.278,0.192,0.208,0.212,0.188,,13,0.2,-5.9,6.1,0.2,12555
Ben Lively,- - -,27,33,2,2,8,0,0.00%,33.30%,0.182,0.2,0.182,0.182,0.364,0.226,,36,0,-2.8,3.9,0.2,14932
Randy Wells,- - -,98,178,0,8,6,0,2.80%,20.80%,0.034,0.229,0.171,0.199,0.205,0.183,,0,-0.1,-21.2,18,0.2,4535
Brad Hennessey,SFG,123,41,0,2,1,1,0.00%,26.80%,0.056,0.32,0.222,0.222,0.278,0.218,,24,0.2,-3.9,4.7,0.2,3720
Jeff Weaver,- - -,132,62,0,3,3,0,4.80%,33.90%,0.02,0.286,0.163,0.226,0.184,0.195,,13,0,-7,7.1,0.2,503
Joel Hanrahan,- - -,362,21,0,3,3,0,0.00%,23.80%,0.235,0.333,0.235,0.235,0.471,0.293,,74,0,-0.8,2.3,0.2,2186
Colby Lewis,- - -,189,27,0,1,5,0,0.00%,37.00%,0.038,0.438,0.269,0.269,0.308,0.254,,51,0,-1.6,2.7,0.2,1259
John Means,BAL,68,8,0,0,0,0,12.50%,25.00%,0.167,0.5,0.333,0.429,0.5,0.4,,185,0,0.9,1,0.2,16269
Joe Kelly,- - -,373,104,0,7,5,1,0.00%,26.00%,0.043,0.227,0.163,0.179,0.207,0.171,,0,0.2,-12.1,10.7,0.2,9761
Chris Heston,- - -,41,59,0,1,3,0,0.00%,32.20%,0.038,0.303,0.192,0.192,0.231,0.184,,13,0,-6,6.1,0.2,10302
Cha Seung Baek,- - -,54,39,1,2,2,0,2.60%,20.50%,0.133,0.19,0.167,0.194,0.3,0.215,,31,0,-3.4,4.1,0.2,8214
Corbin Burnes,MIL,102,68,0,1,4,0,4.40%,41.20%,0,0.323,0.169,0.21,0.169,0.175,,2,0,-8.6,8.2,0.2,19361
Beltran Perez,WSN,9,7,0,0,0,0,14.30%,28.60%,0,0.75,0.5,0.571,0.5,0.482,,198,0,0.9,0.8,0.2,2116
Kenley Jansen,LAD,703,10,0,1,1,0,10.00%,30.00%,0.111,0.5,0.333,0.4,0.444,0.371,,138,0,0.4,1.1,0.2,3096
Andrew Albers,- - -,31,3,0,0,1,0,0.00%,0.00%,0,1,1,1,1,0.877,,483,0,1.4,0.4,0.2,7853
Kenta Maeda,- - -,181,215,1,12,14,0,0.50%,19.50%,0.039,0.199,0.156,0.161,0.196,0.154,,-9,-0.1,-29.4,24.6,0.2,18498
