"Name","Team","Level","Age","PA","BB.","K.","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","mYear","playerid","zAge"
"Ryan Ludwick","DET","AAA",27,573,0.08376963,0.29144852,0.28742515,0.26574803,0.34210526,0.50590551,0.84801077,0.24015748,3.43810207,0.33968254,-2.185450281,87.37786704,23.44942215,0.376076552,136.680733,2006,1260,0.0342163013408052
"Larry Bigbie","STL","AAA",28,62,0.19354839,0.30645161,0.63157895,0.18367347,0.33870968,0.24489796,0.58360764,0.06122449,2.048595706,0.26666667,-0.408301422,5.348960838,-2.499974229,0.291268917,67.88981112,2006,128,0.343515025315137
"Ken Huckaby","BOS","AAA",35,305,0.0295082,0.23606557,0.125,0.21875,0.23920266,0.27430556,0.51350822,0.05555556,3.380616619,0.27981651,0.693745336,12.67623003,-21.35199979,0.232657257,37.2520995,2006,1306,2.50860609313546
"Chad Mottola","TOR","AAA",34,464,0.06465517,0.22198276,0.29126214,0.26450116,0.31465517,0.44779582,0.76245099,0.18329466,4.799659998,0.31309904,1.422908897,57.71433248,5.946795963,0.339736964,111.4875004,2006,1315,2.19930736916113
"Josh Phelps","DET","AAA",28,522,0.07279693,0.23754789,0.30645161,0.30818966,0.37044146,0.53232759,0.90276905,0.22413793,4.182082434,0.36842105,0.563075625,88.17313025,29.93465166,0.397308314,151.4001265,2006,1318,0.343515025315137
"Pedro Swann","PHI","AA",35,241,0.08713693,0.19087137,0.45652174,0.31924883,0.38174274,0.48826291,0.87000565,0.16901408,6.37432268,0.37575758,1.540762878,38.96417502,11.86027046,0.385228295,143.4674348,2006,1323,4.74808959495206
"Tom Wilson","FLA","AAA",35,315,0.0984127,0.21587302,0.45588235,0.29856115,0.36942675,0.49280576,0.86223251,0.19424461,2.410354169,0.35960591,-0.651495563,50.67741337,10.9227735,0.380785576,127.4754684,2006,1328,2.50860609313546
"Quinton McCracken","MIN","AAA",35,119,0.07563025,0.14285714,0.52941176,0.28440367,0.33898305,0.34862385,0.6876069,0.06422018,2.819618293,0.32967033,-0.054520526,12.67667502,-0.599913012,0.316649243,95.4814218,2006,1377,2.50860609313546
"Jason Lane","HOU","AAA",29,55,0.09090909,0.29090909,0.3125,0.26086957,0.32727273,0.36956522,0.69683795,0.10869565,4.556503141,0.34375,0.205731905,5.712959272,-1.228327053,0.312345758,82.30404286,2006,1397,0.652813749289469
"Hiram Bocachica","OAK","AAA",30,344,0.125,0.15988372,0.78181818,0.32646048,0.42151163,0.59450172,1.01601335,0.26804124,6.901291904,0.34545455,2.316642675,72.44551361,29.03092278,0.4404713,166.8690461,2006,1404,0.9621124732638
"Cory Aldridge","CHW","AA",27,416,0.07451923,0.27884615,0.26724138,0.25797872,0.31325301,0.36170213,0.67495514,0.10372341,5.055804388,0.35496183,-0.282661193,40.58343771,-4.000854281,0.30857265,92.17559319,2006,1405,1.1990581138076
"Erubiel Durazo","TEX","AAA",31,226,0.14159292,0.16814159,0.84210526,0.28645833,0.38938053,0.43229167,0.8216722,0.14583334,0.81358883,0.33333333,-0.068749053,33.86151417,7.388351132,0.3708629,128.5237972,2006,1413,1.27141119723813
"Ramon Santiago","DET","AAA",26,100,0.09,0.18,0.5,0.25301205,0.33333333,0.39759036,0.73092369,0.14457831,4.149194524,0.3015873,-0.03326959,11.94904809,0.79225143,0.333409818,107.1010654,2006,1417,-0.275082422633527
"Jesse Garcia","HOU","AAA",32,273,0.02564103,0.17582418,0.14583333,0.25882353,0.28195489,0.39215686,0.67411175,0.13333333,5.321699058,0.2955665,0.578837753,24.70717961,-9.746841604,0.296295469,71.71058338,2006,1418,1.58070992121246
"Henry Mateo","WSN","AAA",29,490,0.07755102,0.15918367,0.48717949,0.25404157,0.31799163,0.34411085,0.66210248,0.09006928,7.380713412,0.30337079,1.791054766,46.8629803,-14.9775706,0.302461612,75.78034092,2006,1461,0.652813749289469
"Chris Snelling","SEA","AAA",24,290,0.10689655,0.20689655,0.51666667,0.21576763,0.32638889,0.34024896,0.66663785,0.12448133,4.606581841,0.25966851,-0.054934696,28.83460104,-7.764908673,0.307012675,78.78411833,2006,1480,-0.89367987058219
"Earl Snyder","CIN","AAA",30,518,0.08301158,0.19111969,0.43434343,0.25701944,0.31853282,0.42980562,0.74833844,0.17278618,2.769527254,0.28651685,-0.01250935,61.80818921,4.015982486,0.333190479,106.9490035,2006,1481,0.9621124732638
"Andres Torres","MIN","AAA",28,415,0.11807229,0.20963855,0.56321839,0.23563218,0.33333333,0.35344828,0.68678161,0.1178161,7.21778895,0.30651341,0.868054826,43.55729441,-2.743411741,0.314620276,94.07479503,2006,1488,0.343515025315137
"Bobby Smith","CHW","AAA",32,208,0.0625,0.28846154,0.21666667,0.25906736,0.30434783,0.44041451,0.74476234,0.18134715,3.610522461,0.34375,0.529163558,24.56830506,1.362168002,0.331633887,105.8698611,2006,1493,1.58070992121246
"Keith Ginter","OAK","AAA",30,506,0.11462451,0.14624506,0.78378378,0.26777251,0.37051793,0.42890995,0.79942788,0.16113744,3.319520002,0.29239766,0.655026269,73.35173861,9.491904417,0.36167725,114.8636534,2006,1500,0.9621124732638
"Alexis Gomez","DET","AAA",27,251,0.07171315,0.19123506,0.375,0.28761062,0.34274194,0.53982301,0.88256495,0.25221239,6.377346402,0.31952663,-0.060470999,39.93924151,11.93568188,0.384646465,142.6220168,2006,1501,0.0342163013408052
"Nick Green","TBD","AAA",27,102,0.06862745,0.26470588,0.25925926,0.22222222,0.29,0.3,0.59,0.07777778,2.545458152,0.3015873,0.157498132,7.514370994,-3.865561603,0.274210795,66.03177066,2006,1502,0.0342163013408052
"Aaron Guiel","NYY","AAA",33,286,0.15034965,0.19230769,0.78181818,0.25110132,0.38811189,0.51101322,0.89912511,0.2599119,3.101190455,0.26829268,-0.010337579,49.35658444,14.16940438,0.396080442,140.2828233,2006,1503,1.8900086451868
"Julius Matos","SDP","AAA",31,117,0.08547009,0.20512821,0.41666667,0.27884615,0.33913043,0.28846154,0.62759197,0.00961539,1.120421268,0.35802469,0.00363714,10.20127775,-3.19042717,0.29309058,76.91624597,2006,1509,1.27141119723813
"Howie Clark","BAL","AAA",32,350,0.10285714,0.08,1.28571429,0.26298701,0.34195402,0.35064935,0.69260337,0.08766234,3.003168203,0.27956989,-0.55508475,37.25324475,-1.795543576,0.316534386,95.40179439,2006,1533,1.58070992121246
"Adam Hyzdu","TEX","AAA",34,524,0.14122137,0.19465649,0.7254902,0.27107062,0.37022901,0.476082,0.84631101,0.20501138,4.285734314,0.30487805,-0.310251521,81.07498854,14.94346064,0.373393501,122.5965755,2006,1543,2.19930736916113
"Mike Mahoney","TOR","AAA",33,245,0.04897959,0.21632653,0.22641509,0.2,0.24590164,0.24888889,0.49479053,0.04888889,1.889729117,0.25142857,-0.875393749,9.591494089,-17.74265774,0.229538255,35.08978127,2006,1544,1.8900086451868
"Ruben Rivera","CHW","AAA",32,377,0.08488064,0.23872679,0.35555556,0.23867069,0.32180851,0.45015106,0.77195957,0.21148037,5.046434226,0.27631579,0.256933917,48.66463158,6.603508157,0.345812916,115.6997903,2006,1550,1.58070992121246
"Raul Gonzalez","PIT","AAA",32,458,0.11790393,0.12882096,0.91525424,0.26315789,0.35152838,0.38345865,0.73498703,0.12030076,3.245369092,0.29166667,-1.387598904,55.37162446,4.273495736,0.335230526,108.3633116,2006,1553,1.58070992121246
"Dewayne Wise","CIN","AAA",28,235,0.06808511,0.16170213,0.42105263,0.30392157,0.36403509,0.52941176,0.89344685,0.22549019,7.600294399,0.33950617,0.546511183,38.04837985,12.13642909,0.392853764,147.9834549,2006,1554,0.343515025315137
"Wil Nieves","NYY","AAA",28,348,0.05172414,0.08333333,0.62068966,0.25856698,0.29824561,0.34579439,0.64404,0.08722741,2.26521548,0.26989619,-0.141295178,30.6906318,-8.135020591,0.292944105,79.04730484,2006,1556,0.343515025315137
"Matt Cepicky","FLA","AAA",28,366,0.12021858,0.18032787,0.66666667,0.265625,0.35245902,0.403125,0.75558402,0.1375,3.513976673,0.31325301,-0.00511293,45.44619266,-0.744912708,0.336713748,98.38732435,2006,1562,0.343515025315137
"Jack Cust","SDP","AAA",27,591,0.24196277,0.20981387,1.15322581,0.29251701,0.46700508,0.54875283,1.01575791,0.25623582,1.523375972,0.34137931,-1.239030669,129.4508022,54.86352547,0.450603011,173.5561451,2006,1564,0.0342163013408052
"Luke Allen","SDP","AAA",27,340,0.08529412,0.19117647,0.44615385,0.26557377,0.32352941,0.41311475,0.73664416,0.14754098,2.423801724,0.30379747,-0.264167937,39.5764787,-0.288745541,0.327579174,98.55872013,2006,1586,0.0342163013408052
"Tony Alvarez","BAL","AA",27,370,0.05675676,0.17567568,0.32307692,0.26347305,0.32520325,0.3742515,0.69945475,0.11077845,4.576060459,0.30566038,-1.61637821,41.7121172,-0.10331265,0.320443718,99.77446929,2006,1587,1.1990581138076
"Kevin Cash","TBD","AAA",28,273,0.08791209,0.27106227,0.32432432,0.18333333,0.27037037,0.25833333,0.5287037,0.075,2.629560574,0.25454545,-0.691331947,15.26662993,-15.19142496,0.251223347,50.12345661,2006,1593,0.343515025315137
"Jose Flores","SFG","AAA",33,211,0.11374408,0.11374408,1,0.25136612,0.34285714,0.33333333,0.67619047,0.08196721,2.357563175,0.27848101,-0.253579511,21.9736117,-2.855306318,0.313587074,89.40536731,2006,1602,1.8900086451868
"Ed Rogers","BAL","AAA",27,359,0.0362117,0.1448468,0.25,0.2979351,0.32394366,0.40117994,0.7251236,0.10324484,4.497395106,0.33802817,-0.507152437,40.50973258,0.456832552,0.324812198,101.140573,2006,1621,0.0342163013408052
"Wilkin Ruan","LAD","AAA",27,364,0.04120879,0.09065934,0.45454545,0.26764706,0.30167598,0.34411765,0.64579363,0.07647059,6.202886654,0.29315961,1.296104378,33.08665279,-6.364518042,0.297046827,83.07675539,2006,1622,0.0342163013408052
"Jim Rushford","PHI","AA",32,510,0.09215686,0.08431373,1.09302326,0.26801802,0.34319527,0.3536036,0.69679887,0.08558558,2.676112203,0.28217822,0.242742188,55.15080668,-2.125465561,0.316564742,96.29636704,2006,1623,3.41720278952289
"Esix Snead","BAL","AAA",30,153,0.12418301,0.13071895,0.95,0.22047244,0.31972789,0.26771654,0.58744443,0.0472441,4.900114907,0.25233645,1.355467224,11.76061623,-5.30928267,0.278302684,68.89681244,2006,1626,0.9621124732638
"Eric Valent","SDP","AAA",29,95,0.09473684,0.24210526,0.39130435,0.20930233,0.28421053,0.25581395,0.54002448,0.04651162,1.832671955,0.28571429,0.00840679,5.099713951,-6.889780612,0.25209094,42.53485353,2006,1629,0.652813749289469
"Chris Richard","PIT","AAA",32,405,0.14320988,0.2,0.71604938,0.24332344,0.35891089,0.46587537,0.82478626,0.22255193,4.923068883,0.26748971,-0.946867939,58.74014318,13.55511669,0.366438783,129.9991341,2006,163,1.58070992121246
"Michael Ryan","ATL","AAA",28,398,0.07537688,0.18844221,0.4,0.24242424,0.30203046,0.34710744,0.6491379,0.1046832,2.39019546,0.29078014,-0.942310653,36.12826367,-8.275787051,0.296283681,81.36254032,2006,1643,0.343515025315137
"Todd Sears","FLA","AAA",30,198,0.07070707,0.1969697,0.35897436,0.26519337,0.31979695,0.40883978,0.72863673,0.14364641,5.227350214,0.3115942,0.618342096,22.83237598,-2.15625479,0.326053544,91.37105666,2006,1645,0.9621124732638
"Dusty Wathan","PHI","AAA",32,273,0.07692308,0.17216117,0.44680851,0.2394958,0.3197026,0.34453782,0.66424042,0.10504202,2.36285396,0.27659574,0.076036214,26.81011931,-3.647935583,0.305891079,88.02308422,2006,1648,1.58070992121246
"Ronald Calloway","BOS","AAA",29,457,0.08752735,0.16849015,0.51948052,0.28817734,0.35384615,0.39901478,0.75286093,0.11083744,4.485659746,0.34242424,-0.774824793,56.59517691,5.60861616,0.339034043,111.0001853,2006,1649,0.652813749289469
"Rocco Baldelli","TBD","AAA",24,51,0.07843137,0.19607843,0.4,0.40425532,0.45098039,0.5106383,0.96161869,0.10638298,2.118967725,0.51351351,-0.42441504,10.00778233,4.317816027,0.432625764,175.8847382,2006,1656,-0.89367987058219
